place,1way_int_count_bike,1way_int_prop_bike,2way_int_count_bike,2way_int_prop_bike,3way_int_count_bike,3way_int_prop_bike,4way_int_count_bike,4way_int_prop_bike,5way_int_count_bike,5way_int_prop_bike,6way_int_count_bike,6way_int_prop_bike,7way_int_count_bike,7way_int_prop_bike,8way_int_count_bike,8way_int_prop_bike,circuity_avg_bike,disconnected_components_bike,edge_density_km_bike,edge_length_avg_bike,edge_length_total_bike,entropy_bike,intersection_count_bike,intersection_density_km_bike,k_avg_bike,length_bike,linearity_mean_bike,linearity_median_bike,m_bike,n_bike,node_density_km_bike,self_loop_proportion_bike,street_density_km_bike,street_length_avg_bike,street_length_total_bike,street_segment_count_bike,streets_per_node_avg_bike,1way_int_count_road,1way_int_prop_road,2way_int_count_road,2way_int_prop_road,3way_int_count_road,3way_int_prop_road,4way_int_count_road,4way_int_prop_road,5way_int_count_road,5way_int_prop_road,6way_int_count_road,6way_int_prop_road,7way_int_count_road,7way_int_prop_road,8way_int_count_road,8way_int_prop_road,circuity_avg_road,disconnected_components_road,edge_density_km_road,edge_length_avg_road,edge_length_total_road,entropy_road,intersection_count_road,intersection_density_km_road,k_avg_road,length_road,linearity_mean_road,linearity_median_road,m_road,n_road,node_density_km_road,self_loop_proportion_road,street_density_km_road,street_length_avg_road,street_length_total_road,street_segment_count_road,streets_per_node_avg_road
"Aberdeen, United Kingdom",25,0.020374898125509373,3,0.0024449877750611247,830,0.6764466177669112,353,0.28769356153219233,16,0.013039934800325998,,,,,,,1.0539206531659264,139.0,6908268168207.594,93.51564168514413,210877.77200000003,3.548831723540257,1202,39377020439.05095,3.675631621841891,21.0877772,0.958761126713645,0.9976853592493384,2255,1227,40196010048.84818,0.0,3493584060137.289,93.87597975352116,106643.11300000004,1136,3.2705786471067646,2387,0.2613312896868842,69,0.007554193124589446,6234,0.6825049266476899,429,0.04696737464418656,14,0.001532734836873221,,,,,,,1.0827463122831298,1.0,66044226593414.82,95.64605792769784,2016027.609000015,3.5512422343202097,6747,221028915892.07718,4.6152835559448215,201.60276090000002,0.9522022514852121,0.9996897495283774,21078,9134,299226043835.51697,0.011992700095593986,36340143477848.24,96.40202155209867,1109298.0619999995,11507,2.520144514998905
"Amsterdam, Netherlands",81,0.00567187171766683,48,0.0033611091660247882,6317,0.44233597087038723,7523,0.52678383866676,268,0.0187661928436384,40,0.002800924305020657,3,0.00021006932287654927,1,7.002310762551643e-05,1.0168223642096037,290.0,39700681801856.32,51.1388963354978,1149909.2230000035,3.487572015078926,14200,490255813511.6011,3.1490791961347244,114.99092230000001,0.990964044856296,0.9999999785403433,22486,14281,493052343152.05457,0.0,25567468340171.586,48.96510050251269,740548.1800000019,15124,3.559204537497374,1513,0.12149682807355658,243,0.019513370272223562,7764,0.6234642254878343,2799,0.22476511683931583,108,0.008672609009877139,24,0.001927246446639364,2,0.00016060387055328034,,,1.070691868649791,1.0,93560845973112.23,94.05269683823327,2709940.354000015,3.4938563494996377,10940,377704126747.6701,4.627479322251666,270.99403540000003,0.9637623895364862,0.9999847430562709,28813,12453,429940538426.7583,0.003709278572196538,62244862583725.7,96.9191205246745,1802889.479999995,18602,2.9860274632618644
"Berlin, Germany",87,0.0031432907001951007,27,0.0009755040104053761,14285,0.5161138810607703,12675,0.45794493821807936,539,0.01947395042994436,54,0.0019510080208107522,7,0.00025290844714213456,4,0.00014451911265264832,1.0160333518011537,1391.0,23267881668019.668,57.692500483578634,2743970.707999967,3.5679106245154193,27591,233961726060.21066,3.4368090179926294,274.39707080000005,0.9916205986494044,0.9999999999999998,47562,27678,234699454673.4265,7.391529307413703e-05,12670825853487.686,55.224507835020894,1494264.7329999954,27058,3.4972180070814365,3238,0.11568004001286128,384,0.013718695294916223,16988,0.6069093637240541,7259,0.25933335715051264,115,0.004108463434675432,7,0.0002500803829802437,,,,,1.0419307029733995,1.0,90139796478699.75,145.39336674736492,10630145.223000092,3.5716248556472685,24753,209896509918.75592,5.224036297381301,1063.0145223,0.9767297790610115,0.999967159019872,73113,27991,237353581753.15707,0.0037784862439485182,51909138860742.48,144.5653831385067,6121621.149000066,42345,3.0232217498481653
"Birmingham, United Kingdom",46,0.012137203166226913,10,0.002638522427440633,2316,0.6110817941952507,1360,0.35883905013192613,52,0.013720316622691292,6,0.0015831134564643799,,,,,1.0451247428513264,265.0,15439998735167.562,75.82409807452537,547374.1639999986,3.5766614507099272,3744,105608483312.46321,3.8094986807387863,54.73741639999999,0.9626192350011584,0.9983045280908374,7219,3790,106906023438.6313,0.0,7749741920844.56,75.18924630541876,274741.50600000017,3654,3.3641160949868074,7789,0.3005131370809059,140,0.005401442956904202,16454,0.6348238743778695,1495,0.05767969443265558,38,0.001466105945445426,3,0.00011574520621937575,,,,,1.0541668637403814,1.0,141077071926176.06,87.03876775956132,5001421.672999913,3.5820140330372037,18130,511400054074.508,4.433967359851846,500.14216730000004,0.9631188056347024,0.9998322680882236,57462,25919,731107446307.6212,0.007785903416971378,77193013079203.78,86.2635022695753,2736623.346000007,31724,2.4545314248234886
"Bordeaux, France",20,0.00992063492063492,10,0.00496031746031746,955,0.47371031746031744,950,0.4712301587301587,66,0.03273809523809524,12,0.005952380952380952,3,0.001488095238095238,,,1.0429607779620436,153.0,26044113192837.574,42.95276111595469,147800.4510000001,3.5304953706159345,1996,351717803167.6221,3.4136904761904763,14.7800451,0.9802754034550272,0.9999999999999998,3441,2016,355242029652.2676,0.0,14844482481637.463,43.04675523760855,84242.49999999993,1957,3.5357142857142856,282,0.06470858191831115,65,0.014915098669114273,3121,0.716154199173933,841,0.1929784304726939,48,0.01101422670949977,1,0.0002294630564479119,,,,,1.0307694993237844,1.0,142337043402401.9,91.11825324309028,807763.3149999953,3.565300132627689,4076,718237357570.7552,4.0683799908214775,80.77633150000001,0.9789650731895657,0.9998592098558814,8865,4358,767928951004.257,0.0010614101592115238,105155244122439.95,90.48619393479869,596756.4489999973,6595,3.0713630105553005
"Bristol, United Kingdom",41,0.01652559451833938,4,0.0016122531237404273,1637,0.6598145908907699,763,0.3075372833534865,32,0.012898024989923419,2,0.0008061265618702137,1,0.00040306328093510683,1,0.00040306328093510683,1.054772230601866,262.0,20418960000784.504,64.46196012269938,294204.386,3.5809307071946987,2440,169345750004.9445,3.679161628375655,29.4204386,0.9626376359706814,0.9980830000891676,4564,2481,172191313836.99478,0.0,10390070099985.541,64.3335651052858,149704.20600000006,2327,3.3047158403869408,3213,0.2640098603122432,286,0.023500410846343467,8105,0.6659819227608874,554,0.04552177485620378,10,0.0008216926869350862,2,0.00016433853738701725,,,,,1.0555898789566116,1.0,154708345522603.22,80.09408695339721,2229098.5339999977,3.5777633121702976,8957,621651591309.1343,4.573705834018077,222.9098534,0.96885342221354,0.9998595125148114,27831,12170,844646630147.6124,0.002029858564693557,83321366478980.69,78.60967358564719,1200526.9350000038,15272,2.496138044371405
"Brussels, Belgium",24,0.011126564673157162,5,0.0023180343069077423,938,0.43486323597589244,1124,0.5210941121928605,54,0.025034770514603615,11,0.005099675475197033,1,0.0004636068613815484,,,1.0160450853567107,136.0,35063087398434.766,41.3718969561576,148152.76300000036,3.4971090816876567,2133,504813841513.44635,3.32035234121465,14.815276299999999,0.9883484849914363,0.9999998968833417,3581,2157,510493884737.2263,0.0,22554336933147.74,41.651787587412734,95299.29000000033,2288,3.563745943439963,103,0.04486062717770035,48,0.020905923344947737,1638,0.7134146341463414,476,0.2073170731707317,25,0.01088850174216028,5,0.0021777003484320556,1,0.00043554006968641115,,,1.033675079257944,1.0,101881179934917.25,95.79007187360948,430480.583000001,3.543472304473091,2193,519013949572.8963,3.9146341463414633,43.0480583,0.9790450285456928,0.9996866060895588,4494,2296,543390801741.6188,0.00028951939779965256,77154146711400.06,94.38360046323122,326000.95600000065,3454,3.1267421602787455
"Budapest, Hungary",39,0.008676307007786429,15,0.0033370411568409346,2088,0.4645161290322581,2204,0.49032258064516127,129,0.028698553948832035,20,0.004449388209121246,,,,,1.0274991085390373,341.0,7927288097777.521,61.24998683076917,497656.14299999946,3.5676552793495335,4456,70980728883.91267,3.6151279199110125,49.7656143,0.9798200158667373,0.9999999801436895,8125,4495,71601969554.12645,0.00023501762632197415,4067100237348.2134,60.00535910693299,255322.8029999999,4255,3.540378197997775,2324,0.09701118717649024,258,0.010769744531641343,15800,0.6595424945733845,5417,0.22612289196860913,134,0.005593588245116046,23,0.0009600935047587244,,,,,1.0329674628921854,1.0,126380146785523.14,126.0060137380087,7933842.64899998,3.5273835189160523,21632,344581491745.2421,5.256637168141593,793.3842649000002,0.9835198997381436,0.9999999772293157,62964,23956,381601063990.80164,0.0005237333921384861,71673626001708.64,124.02829318044003,4499498.420000004,36278,3.0353982300884956
"Cambridge, United Kingdom",22,0.009482758620689655,5,0.0021551724137931034,1503,0.6478448275862069,740,0.31896551724137934,41,0.01767241379310345,8,0.0034482758620689655,1,0.0004310344827586207,,,1.0228299206968825,215.0,43760075780714.02,56.08134386973189,234195.69200000036,3.5532156686963017,2298,429387292675.22424,3.6,23.419569199999998,0.9800354951014851,0.999997334736644,4176,2320,433498050046.35345,0.0,22683660499437.63,54.981287590579605,121398.68299999977,2208,3.345258620689655,1075,0.3319950586781964,48,0.014823965410747375,1963,0.6062384187770229,148,0.04570722668313774,4,0.0012353304508956147,,,,,,,1.072658905639433,1.0,116047239089422.56,87.09339349319886,621062.9890000011,3.5520094897928867,2163,404162190625.11316,4.404570722668314,62.1062989,0.9578789170867112,0.9998634459797865,7131,3238,605028743987.1088,0.006546216286986122,61146711681923.22,85.68884420005243,327245.69600000023,3819,2.3693638048177887
"Cebu City, Philippines",2,0.07407407407407407,0,0.0,11,0.4074074074074074,14,0.5185185185185185,,,,,,,,,1.0176781164784023,6.0,260975486536.377,164.7065714285714,6917.675999999999,2.3339038219088346,25,943147259.7747318,3.111111111111111,0.6917675999999999,0.9846083545716302,0.999999770335176,42,27,1018599040.5567102,0.0,130487743268.18855,164.70657142857144,3458.838,21,3.3703703703703702,2318,0.3148600923662048,26,0.0035316490084216245,4340,0.5895137190980712,671,0.09114371094811193,,,,,,,,,1.151835750211914,1.0,73734890789269.78,115.91094798956163,1954490.4049999884,3.566938875986706,5044,190289391132.14987,4.580820429231188,195.44904050000002,0.9458266035085605,0.9999286727637723,16862,7362,277738005058.463,0.003761894224385926,39188345283874.76,114.93309194512068,1038765.2850000007,9038,2.4599293670198317
